customer_name,phone_number,email,address,state,purchase_date,gold_type,gold_quality,gold_weight,price_per_gram,total_amount,discount_percentage,discount_amount,final_amount,payment_mode,notes
Divyansh Savant,+911929479860,abobal@example.net,"47, Goda Chowk, Buxar 497395",Telangana,2023-07-13,24K,Premium,38.188,6384.25,243801.74,4.97,12116.95,231684.79,Cash,
Pari Verma,+918128144887,esankar@example.com,"77, Borra Ganj, Akola 956414",Gujarat,2025-05-15,24K,Premium,856.033,5742.55,4915812.3,1.37,67346.63,4848465.67,Bank Transfer,
Hansh Dar,09155190452,rajinaaya@example.net,"H.No. 444, Sampath Road, Salem 054616",Andhra Pradesh,2023-12-18,22K,Pure,895.196,5970.73,5344973.61,4.72,252282.75,5092690.86,Card,
Rania Dey,7790929144,borahstuvan@example.net,"H.No. 74, Srinivasan Zila, Haldia 520882",Delhi,2023-10-09,24K,Pure,326.512,6543.23,2136443.11,1.54,32901.22,2103541.89,Card,
Riaan Raman,+919108151725,fbora@example.net,"79/95, Dar Zila, Miryalaguda 379418",Telangana,2025-03-16,24K,Standard,341.068,5129.66,1749562.88,0.34,5948.51,1743614.37,Bank Transfer,Error qui vel tenetur non sit nemo non.
Purab Bora,+913357995437,mbahl@example.org,"298, Badami Zila, Berhampore-439994",Telangana,2024-03-30,22K,Pure,724.434,5602.8,4058858.82,4.79,194419.34,3864439.48,UPI,
Parinaaz Thaker,+918352798973,raunak80@example.com,"H.No. 69, Goyal Path, Kurnool 428956",Delhi,2025-03-02,22K,Premium,335.16,6154.41,2062712.06,0.31,6394.41,2056317.65,UPI,
Fateh Vohra,4915775618,vedikadate@example.com,"H.No. 413, Kar Zila, Bulandshahr-963407",Telangana,2023-12-01,18K,Premium,822.325,5786.4,4758301.38,4.22,200800.32,4557501.06,Bank Transfer,
Nishith Guha,+914170984635,jivinsrinivas@example.org,"117, Upadhyay Path, Dharmavaram 104454",Gujarat,2024-08-25,18K,Standard,778.615,6820.27,5310364.53,0.7,37172.55,5273191.98,Cash,
Darshit Goswami,+911270175689,sethimohanlal@example.net,"234, Bath Chowk, Pallavaram 112424",Delhi,2023-12-07,22K,Pure,130.023,5514.02,716949.42,3.02,21651.87,695297.55,Cash,
Yuvraj  Dyal,2213171025,somsiya@example.net,"H.No. 10, Dave Road, Gorakhpur 969869",Rajasthan,2023-10-30,18K,Pure,202.391,6964.03,1409457.0,2.99,42142.76,1367314.24,Card,
Shamik Suri,06366395587,neysavarma@example.net,"H.No. 261, Datta Marg, Udupi-931149",Delhi,2025-03-30,22K,Pure,153.755,5014.37,770984.46,1.86,14340.31,756644.15,Bank Transfer,Architecto cumque libero molestias delectus doloribus provident.
Biju Sha,+916231014073,bhagatoorja@example.org,"83, Behl Chowk, Rourkela-746628",Telangana,2024-07-04,22K,Standard,762.404,6769.15,5160827.04,3.84,198175.76,4962651.28,Bank Transfer,Quidem soluta sit voluptatem.
Lavanya Venkatesh,7241439541,aaina33@example.net,"91/27, Krishnan Street, Mathura 399341",Delhi,2024-06-08,22K,Standard,263.645,6406.11,1688938.87,0.42,7093.54,1681845.33,Bank Transfer,Reiciendis impedit vero quia ipsa.
Jivika Bhakta,00587738453,evabawa@example.com,"80, Kala Nagar, Ranchi 785996",Andhra Pradesh,2024-09-17,22K,Standard,57.495,6631.46,381275.79,0.34,1296.34,379979.45,Cash,Quibusdam vitae asperiores eveniet quisquam magni culpa dolores.
Nishith Gour,+914985548636,indranil15@example.net,"00/074, Sawhney Marg, Shimla 342212",Rajasthan,2023-08-01,22K,Standard,894.288,6406.54,5729291.84,4.95,283599.95,5445691.89,UPI,
Vritika Chhabra,6076641986,mishtisankar@example.net,"H.No. 40, Kalla Nagar, Hubli–Dharwad 841250",Tamil Nadu,2024-03-07,18K,Pure,772.501,5378.05,4154549.0,0.26,10801.83,4143747.17,Card,
Vritika Chowdhury,05601108679,ivanabanik@example.com,"95, Ganesan Zila, Jorhat 486243",Kerala,2023-09-08,24K,Pure,20.169,5096.06,102782.43,0.87,894.21,101888.22,Card,
Divit Din,08419802567,miraya08@example.org,"94/830, Chaudhry Nagar, Ahmedabad-969679",Rajasthan,2023-10-18,24K,Premium,499.216,5998.85,2994721.9,0.36,10781.0,2983940.9,Cash,
Ela Chander,+918240520994,zkuruvilla@example.net,"201, Rao Street, Ahmedabad 527492",Maharashtra,2024-06-03,18K,Pure,142.704,6255.37,892666.32,1.79,15978.73,876687.59,UPI,
Aayush Barad,9600994414,psidhu@example.net,"680, Bath Ganj, Pune-935825",West Bengal,2024-09-06,24K,Standard,178.042,6415.37,1142205.31,3.03,34608.82,1107596.49,Cash,
Myra Kadakia,0651228722,kairaray@example.com,"202, Kothari Road, Bellary 202089",Telangana,2024-01-31,24K,Pure,11.352,5062.75,57472.34,1.47,844.84,56627.5,Card,Reprehenderit recusandae iste id quidem eum.
Hridaan Chaudhari,+914666734992,buchnayantara@example.com,"87, Lad Chowk, Mysore 909522",Telangana,2025-05-20,22K,Pure,603.597,5036.88,3040245.66,3.12,94855.66,2945390.0,Bank Transfer,
Riaan Mammen,2471857190,misha24@example.net,"37/13, Char, Naihati 902678",Kerala,2023-10-05,18K,Standard,549.796,5562.61,3058300.73,1.23,37617.1,3020683.63,UPI,
Saira Gulati,09385522320,misha62@example.com,"H.No. 002, Garde Circle, Nagaon-549441",Maharashtra,2023-12-17,22K,Premium,523.613,6801.0,3561092.01,3.72,132472.62,3428619.39,Card,Hic maxime quam officia.
Stuvan Krish,+911296525620,ehsaangoel@example.net,"H.No. 14, Thakkar Nagar, Kirari Suleman Nagar 276427",Delhi,2024-02-16,18K,Standard,794.204,5112.97,4060741.23,1.31,53195.71,4007545.52,Card,
Saira Shere,+913712790353,raniachanda@example.org,"167, Rege Zila, Vijayawada 163526",West Bengal,2024-02-18,24K,Standard,870.816,6718.23,5850342.18,2.25,131632.7,5718709.48,Bank Transfer,Odit nihil distinctio odit dolorem.
Mannat Ravel,0501615053,ikota@example.net,"55, Khatri Ganj, Gwalior-807587",Kerala,2025-02-26,24K,Pure,88.457,5709.87,505077.97,1.04,5252.81,499825.16,UPI,Soluta eum alias sint neque eveniet.
Arhaan Virk,+918586545359,seshadrigatik@example.net,"168, Swaminathan Road, Cuttack 451257",Kerala,2025-03-31,24K,Standard,220.266,6614.61,1456973.69,2.86,41669.45,1415304.24,Bank Transfer,
Prerak Sama,6502380455,chackomisha@example.com,"H.No. 47, Din Path, Hajipur-687037",Tamil Nadu,2025-01-21,24K,Premium,122.106,6196.2,756593.2,4.03,30490.71,726102.49,UPI,
Biju Ben,+916583789098,wsarraf@example.org,"218, Kar Ganj, Shimla 251337",Karnataka,2025-05-05,18K,Premium,979.669,6891.58,6751467.29,3.5,236301.36,6515165.93,Cash,
Shray Thaker,09971071807,reyanshbarad@example.org,"H.No. 92, Date, Bharatpur-090703",West Bengal,2023-07-16,22K,Premium,355.367,6897.92,2451293.14,2.97,72803.41,2378489.73,Cash,Optio sint nostrum sed id.
Raghav Sama,3734692548,pranay57@example.org,"H.No. 16, Baral Nagar, Rewa-305938",Kerala,2024-08-13,22K,Premium,169.845,5254.5,892450.55,2.2,19633.91,872816.64,Cash,
Kismat Rattan,+917087350172,solankihazel@example.org,"901, Kashyap Street, Kadapa-333923",West Bengal,2024-04-07,18K,Premium,186.457,5529.72,1031055.0,4.9,50521.69,980533.31,Bank Transfer,
Aaina Dhawan,+916972521409,kanav96@example.com,"50/101, Rama Circle, Jalna 747569",Gujarat,2024-01-10,24K,Premium,271.696,6103.24,1658225.9,4.95,82082.18,1576143.72,Card,
Akarsh Kala,02565639185,anaya43@example.com,"H.No. 982, Khatri Path, Karnal-083520",Tamil Nadu,2024-12-26,24K,Pure,315.484,5673.93,1790034.13,0.82,14678.28,1775355.85,Cash,Repellendus omnis ex repellat velit praesentium.
Neelofar Kannan,07031759089,subramanianmannat@example.com,"H.No. 54, Dua, Sultan Pur Majra-198202",Gujarat,2024-03-16,22K,Pure,596.095,6990.03,4166721.93,4.6,191669.21,3975052.72,Cash,Laudantium repellat numquam perspiciatis ratione.
Ira Bhatnagar,05961772741,divandivit@example.com,"37/252, Roy Road, Rajahmundry-221578",Telangana,2024-06-04,24K,Premium,338.898,6901.78,2338999.44,3.62,84671.78,2254327.66,Bank Transfer,Odio accusamus fugiat corporis id.
Hridaan Roy,+917013510296,mahika94@example.org,"96, Ramakrishnan Nagar, Bhalswa Jahangir Pur 771986",Karnataka,2023-08-01,22K,Pure,427.53,6222.04,2660108.76,0.12,3192.13,2656916.63,UPI,
Jivin Suresh,+918388530870,aaravroy@example.com,"H.No. 638, Chaudhary Nagar, Ramagundam 494134",West Bengal,2024-12-19,22K,Premium,60.663,6473.59,392707.39,0.09,353.44,392353.95,UPI,
Kavya Ahluwalia,+914796446979,nayantara93@example.org,"H.No. 00, Sheth Street, Khora  191260",West Bengal,2023-09-10,24K,Premium,513.429,6957.56,3572213.07,2.87,102522.52,3469690.55,Card,
Rhea Jayaraman,6001930913,manearnav@example.com,"73/64, Ahuja Chowk, Bhilwara-896545",Andhra Pradesh,2023-07-20,18K,Standard,65.617,5809.35,381192.12,5.0,19059.61,362132.51,Bank Transfer,
Prisha Wable,3640366472,vhayer@example.com,"H.No. 77, Kaul Street, Kamarhati-079151",West Bengal,2024-04-27,24K,Pure,91.485,5002.38,457642.73,4.31,19724.4,437918.33,Cash,
Aaina Dua,2531945588,sethinayantara@example.com,"H.No. 502, Goyal Marg, Chittoor 891674",Karnataka,2024-11-24,18K,Standard,466.468,6997.95,3264319.74,4.25,138733.59,3125586.15,Cash,
Nayantara Ahluwalia,+916648721316,kimaya63@example.net,"59/24, Bhasin Circle, Bhubaneswar 409743",Rajasthan,2024-01-09,24K,Standard,786.429,6279.91,4938703.34,2.59,127912.42,4810790.92,Bank Transfer,
Arnav Jha,+913444736402,goelrohan@example.net,"56, Deol Circle, Ozhukarai 681644",Tamil Nadu,2024-05-29,18K,Standard,907.525,5275.75,4787875.02,2.73,130708.99,4657166.03,Bank Transfer,
Onkar Biswas,+918881251200,neysasathe@example.net,"H.No. 87, Bhatia Chowk, Berhampore 980572",Delhi,2023-12-11,24K,Pure,600.753,5991.65,3599501.71,3.51,126342.51,3473159.2,Bank Transfer,
Yakshit Kapur,8552802547,arhaan69@example.net,"49/194, Konda Chowk, Nangloi Jat-636557",Maharashtra,2025-02-25,22K,Premium,495.492,6496.71,3219067.83,4.47,143892.33,3075175.5,Cash,
Divij Chakrabarti,02927570624,sarafmiraya@example.net,"H.No. 798, Kulkarni Zila, Bettiah-743517",Rajasthan,2024-09-02,18K,Standard,398.788,5825.22,2323027.83,2.57,59701.82,2263326.01,Bank Transfer,Itaque aut nemo.
Rati Mangat,08687827906,ryan26@example.com,"805, Karpe Chowk, Tezpur-842106",Telangana,2023-06-29,24K,Standard,79.597,6122.09,487300.0,2.32,11305.36,475994.64,Bank Transfer,
Kaira Mann,2528430806,chahalmiraya@example.net,"96/01, Manne Nagar, Bharatpur 848778",Andhra Pradesh,2023-08-18,18K,Standard,657.264,6666.5,4381650.46,0.03,1314.5,4380335.96,Card,
Hunar Amble,07394506137,earya@example.org,"16/75, Dash Path, Madurai 255701",Gujarat,2025-04-05,24K,Pure,607.417,6430.39,3905928.2,2.75,107413.03,3798515.17,UPI,
Emir Dasgupta,1357415904,tiya67@example.com,"H.No. 577, Behl Circle, Bidar-853549",Gujarat,2024-01-11,18K,Standard,334.43,5466.98,1828322.12,1.69,30898.64,1797423.48,Bank Transfer,
Vritika Dixit,0739384229,vidurmand@example.org,"H.No. 889, Kapur Zila, Ozhukarai 288331",Karnataka,2023-12-26,24K,Premium,859.276,5180.22,4451238.72,0.19,8457.35,4442781.37,Bank Transfer,
Romil Bhatt,6179110643,advik40@example.com,"59/50, Bedi Road, Malda-686950",Telangana,2024-12-10,22K,Premium,633.82,6054.41,3837406.15,4.93,189184.12,3648222.03,Bank Transfer,
Nehmat Sachdev,09476628005,ojas19@example.com,"89/62, Sem Road, Vasai-Virar-403015",Karnataka,2023-07-07,22K,Standard,532.559,5454.67,2904933.6,2.87,83371.59,2821562.01,UPI,Vitae debitis illo similique suscipit.
Inaaya  Baria,3036779955,tankryan@example.com,"39, Ratti Marg, Berhampur 012049",Rajasthan,2023-07-23,18K,Pure,991.618,6410.17,6356439.96,3.74,237730.85,6118709.11,Bank Transfer,Unde minima at hic excepturi.
Inaaya  Shetty,+915175011206,damini76@example.net,"H.No. 264, Kumer Marg, Nagercoil-359457",Andhra Pradesh,2024-04-27,18K,Standard,671.093,5505.99,3695031.35,1.45,53577.95,3641453.4,Bank Transfer,
Misha Bora,6438032679,aarna17@example.com,"09, Shroff Chowk, Pondicherry 118219",Andhra Pradesh,2023-08-20,22K,Premium,587.586,5344.47,3140335.75,3.93,123415.19,3016920.56,Cash,
Lakshay Sane,+915340857621,nirvibarman@example.org,"076, Randhawa, Tumkur-906110",Maharashtra,2024-08-11,22K,Premium,635.781,5248.78,3337074.6,2.46,82092.04,3254982.56,UPI,Voluptas et vel veritatis quae vero aperiam aspernatur.
Inaaya  Dyal,+912859001635,bkonda@example.org,"72, Bir Ganj, Aurangabad-170351",Telangana,2023-10-18,24K,Standard,92.469,5743.07,531055.94,4.51,23950.62,507105.32,Bank Transfer,Quibusdam quisquam sint dolor.
Yashvi Sengupta,04178460699,sahilkhatri@example.org,"93/064, Date Chowk, Mirzapur-794085",Rajasthan,2025-03-30,22K,Standard,29.91,5094.1,152364.53,1.38,2102.63,150261.9,Card,
Armaan Lala,08206277602,uvarkey@example.net,"67/57, Balan Nagar, Gopalpur 364094",Karnataka,2023-11-23,22K,Pure,130.62,5190.44,677975.27,2.81,19051.11,658924.16,Bank Transfer,
Damini Doshi,7409436631,miraya84@example.net,"H.No. 58, Rajagopal Nagar, Chittoor-407901",Telangana,2023-11-06,24K,Standard,651.839,5488.69,3577742.2,4.76,170300.53,3407441.67,Cash,
Rohan Ganguly,3588845893,bchaudhuri@example.com,"43, Sundaram Ganj, Bhagalpur 176222",Maharashtra,2024-02-02,18K,Premium,484.116,5920.38,2866150.68,2.9,83118.37,2783032.31,Cash,
Pihu Vora,+919711403734,balahiran@example.com,"H.No. 061, Jain Chowk, Raurkela Industrial Township 910685",West Bengal,2023-10-09,24K,Pure,229.102,5955.09,1364323.03,1.5,20464.85,1343858.18,Cash,Non pariatur molestias hic amet.
Yasmin Goda,07285399521,gabajivin@example.com,"53/08, Kunda Marg, Khammam-788717",Kerala,2023-10-28,24K,Standard,104.501,5677.2,593273.08,4.6,27290.56,565982.52,Cash,Iusto hic ipsa assumenda odit eos accusamus.
Hridaan Iyengar,00176006960,wbal@example.org,"H.No. 43, Bora, Dhanbad 800848",West Bengal,2025-05-01,22K,Standard,942.321,6599.06,6218432.82,0.76,47260.09,6171172.73,Cash,
Dishani Sachdev,+911212735421,baradkismat@example.net,"H.No. 604, Dyal Path, Munger-350231",Tamil Nadu,2023-08-11,18K,Standard,41.239,5428.34,223859.31,4.61,10319.91,213539.4,Bank Transfer,
Amira Sridhar,09427073222,anahi91@example.com,"67/464, Karnik Road, Sikar 242445",Andhra Pradesh,2023-08-31,22K,Pure,150.212,6428.28,965604.8,0.58,5600.51,960004.29,Card,
Parinaaz Bhagat,03086309430,krishnamurthyvardaniya@example.com,"89, Kalita Road, Chandrapur-527006",Rajasthan,2023-09-06,24K,Premium,209.258,5966.63,1248565.06,1.94,24222.16,1224342.9,UPI,
Neysa Sankar,+918566553253,jivinmanda@example.org,"H.No. 65, Dhingra Path, Vijayawada 542622",Andhra Pradesh,2025-05-03,18K,Premium,744.134,6650.48,4948848.28,3.43,169745.5,4779102.78,UPI,
Vardaniya Chowdhury,04413781341,nakul75@example.com,"87/926, Joshi Street, Udupi-439203",Andhra Pradesh,2024-08-22,22K,Pure,450.842,5922.72,2670210.93,0.51,13618.08,2656592.85,UPI,
Yashvi Sem,6252544165,pranay05@example.com,"H.No. 99, Varghese Zila, Kishanganj-204812",Delhi,2024-12-11,22K,Pure,949.305,6050.07,5743361.7,2.11,121184.93,5622176.77,Card,Eos qui fugit voluptatum dolorem debitis vitae.
Madhup Amble,8417694475,diyatandon@example.net,"07, Dhingra Marg, Noida 600227",Delhi,2024-11-06,24K,Premium,53.735,6582.31,353700.43,3.6,12733.22,340967.21,UPI,
Nirvi Dey,+910868372761,kavya55@example.net,"29/129, Banerjee Ganj, Parbhani-719288",West Bengal,2023-08-24,24K,Standard,57.955,5099.74,295555.43,3.76,11112.88,284442.55,UPI,
Ivan Karnik,3223564981,hridaanbaral@example.org,"H.No. 76, Das Chowk, Udupi-547076",Rajasthan,2024-01-05,18K,Standard,155.378,6219.71,966406.1,4.79,46290.85,920115.25,Bank Transfer,
Tejas Bail,+919219669536,lakshay10@example.net,"H.No. 04, Gandhi Path, Delhi-015452",West Bengal,2024-12-10,18K,Standard,97.995,6659.27,652575.16,0.79,5155.34,647419.82,Card,
Tushar Brahmbhatt,8031503446,kashyapdivit@example.org,"05/332, Kashyap Nagar, Fatehpur-079677",Tamil Nadu,2024-10-11,18K,Pure,375.346,5820.86,2184836.52,2.95,64452.68,2120383.84,Bank Transfer,
Kanav Chaudry,3454324925,ndeo@example.org,"H.No. 574, Ray Circle, Solapur-404413",Andhra Pradesh,2024-10-29,18K,Premium,496.661,5567.4,2765110.45,1.43,39541.08,2725569.37,Card,
Tarini Sule,07661484035,surnitya@example.org,"96, Dasgupta Circle, Darbhanga 402823",West Bengal,2023-10-08,22K,Standard,608.196,6066.24,3689462.9,0.01,368.95,3689093.95,Card,
Prerak Keer,7824646221,ndeol@example.com,"83, Madan Circle, Aizawl-629810",Kerala,2024-10-22,22K,Premium,573.252,6365.11,3648812.04,0.77,28095.85,3620716.19,Card,
Arnav Dewan,+911774937452,sombhavin@example.net,"52, Comar Zila, Mangalore 475172",Maharashtra,2023-10-30,18K,Standard,812.714,6104.31,4961058.2,1.24,61517.12,4899541.08,Card,
Zaina Kala,5761955191,mannaradhya@example.org,"981, Borah Road, Gandhidham-498561",Andhra Pradesh,2025-04-19,18K,Standard,592.675,6834.05,4050370.58,4.1,166065.19,3884305.39,Card,Molestiae non voluptatum sed assumenda ab nesciunt.
Zaina Agate,+917939524855,sarmatara@example.net,"41/49, Kunda Street, Hosur 005004",Delhi,2023-06-19,22K,Pure,930.499,6224.54,5791928.25,1.55,89774.89,5702153.36,Card,Voluptate amet cum alias.
Prerak Sandhu,06998925680,virkyashvi@example.com,"H.No. 476, Viswanathan Zila, Durgapur 730235",Kerala,2024-03-15,18K,Premium,529.349,6633.25,3511304.25,0.22,7724.87,3503579.38,UPI,
Riaan Sridhar,1643609913,ramivan@example.org,"38/40, Vohra Street, Raurkela Industrial Township-069848",Maharashtra,2024-06-06,24K,Standard,921.688,5671.49,5227344.28,4.43,231571.35,4995772.93,Card,
Kiaan Bassi,07589575664,kharedishani@example.net,"920, Bumb, Mango 079623",Gujarat,2024-09-12,18K,Pure,447.675,6848.8,3066036.54,3.7,113443.35,2952593.19,Cash,
Gatik Chowdhury,+914521946280,barmanzain@example.org,"79/697, Maharaj Nagar, Kolhapur 979891",Karnataka,2023-07-18,24K,Standard,29.378,5798.06,170335.41,0.57,970.91,169364.5,Bank Transfer,
Tiya Kale,06217630781,shraygola@example.com,"03/625, Balasubramanian Circle, Katihar-353258",Rajasthan,2025-02-13,24K,Pure,209.323,5503.58,1152025.88,3.85,44353.0,1107672.88,Cash,
Chirag Chander,+914062121760,drishyakhatri@example.com,"H.No. 07, Walia, Dehradun-834249",Tamil Nadu,2025-03-24,18K,Pure,513.329,5893.02,3025058.06,2.47,74718.93,2950339.13,Bank Transfer,
Madhav Jha,05067621421,xraja@example.net,"84, Chandran Road, Rajkot-191258",Tamil Nadu,2025-02-21,22K,Pure,477.557,6600.63,3152177.06,0.98,30891.34,3121285.72,Cash,
Ritvik Randhawa,04524252555,sandalira@example.org,"858, Suri Zila, Gangtok 693057",West Bengal,2023-10-30,22K,Standard,853.731,6889.9,5882121.22,0.87,51174.45,5830946.77,Card,
Renee Arora,+916995824313,ddate@example.org,"332, Dhawan Street, Kavali-694093",Andhra Pradesh,2023-08-06,22K,Standard,47.991,6372.67,305830.81,4.0,12233.23,293597.58,Card,Deserunt praesentium maiores minima vitae perspiciatis.
Pihu Dhar,+917164041869,bhallanitara@example.org,"09, Bala Nagar, Sirsa 068152",West Bengal,2025-03-14,18K,Standard,890.295,6773.92,6030787.11,3.63,218917.57,5811869.54,Cash,Debitis porro earum.
Shray Ratti,+915522647329,contractorneelofar@example.org,"H.No. 36, Loke Ganj, Moradabad 817802",Tamil Nadu,2024-12-27,18K,Pure,507.901,6704.77,3405359.39,4.88,166181.54,3239177.85,Card,
Eshani Ranganathan,08177649633,pranay25@example.org,"H.No. 80, Varughese Marg, Kirari Suleman Nagar 466689",Rajasthan,2024-01-22,24K,Standard,548.766,6255.21,3432646.57,2.08,71399.05,3361247.52,Cash,
Nayantara Kuruvilla,+917890375647,sankaruthkarsh@example.com,"43/032, Chaudhari Nagar, Aizawl-442911",Karnataka,2023-08-24,24K,Premium,776.484,5749.95,4464744.18,0.02,892.95,4463851.23,Bank Transfer,Veritatis facere laudantium ex.
Lakshay Solanki,09892407992,romilkuruvilla@example.net,"08/774, Subramanian Nagar, Rampur 989857",Andhra Pradesh,2024-01-12,18K,Standard,266.43,6765.1,1802425.59,0.64,11535.52,1790890.07,Cash,Maiores vero excepturi pariatur corporis.
Vidur Grewal,+915282033807,mandalgokul@example.com,"22/365, Master Path, Parbhani 702070",Telangana,2024-12-16,24K,Premium,822.22,6613.66,5437883.53,1.27,69061.12,5368822.41,Bank Transfer,
Tanya Ramakrishnan,+916650254507,kiara30@example.com,"96/55, Ghosh Street, Farrukhabad-231506",Tamil Nadu,2024-03-11,18K,Pure,612.88,5733.09,3513696.2,2.48,87139.67,3426556.53,Bank Transfer,Minima repudiandae unde reiciendis.
Rania Chokshi,08048373732,gardejivika@example.com,"66, Wadhwa Chowk, Bardhaman 636440",Maharashtra,2024-01-18,18K,Standard,45.091,5134.54,231521.54,0.26,601.96,230919.58,Card,
Darshit Chada,5197070356,samarsura@example.com,"H.No. 23, Sekhon Circle, Madhyamgram 398893",Maharashtra,2024-12-19,24K,Pure,244.109,6441.48,1572423.24,4.47,70287.32,1502135.92,Cash,
Ritvik Shankar,+918642438521,ltailor@example.org,"H.No. 93, Jhaveri, Pallavaram-447573",Rajasthan,2025-04-30,18K,Standard,876.661,5418.6,4750275.29,1.93,91680.31,4658594.98,Cash,Mollitia cum libero aut distinctio assumenda.
Neelofar Sane,07393897378,nirvikant@example.com,"46/61, Shenoy Path, Mumbai 443320",Delhi,2024-03-17,22K,Standard,318.719,5874.28,1872244.65,3.35,62720.2,1809524.45,UPI,
Yashvi Lad,+919631468037,sagarbadal@example.com,"H.No. 112, Rajagopalan Chowk, Pune-671312",Tamil Nadu,2024-06-26,18K,Pure,994.237,5062.95,5033772.22,3.06,154033.43,4879738.79,Bank Transfer,
Zain Char,3588428408,battaadah@example.net,"H.No. 31, Agate Marg, Kurnool 100876",Tamil Nadu,2025-02-01,18K,Premium,402.077,6085.36,2446783.29,4.15,101541.51,2345241.78,Bank Transfer,Expedita molestiae nemo eum explicabo.
Elakshi Sheth,8493310856,ivan57@example.org,"44/371, Dar Path, Baranagar 276108",Karnataka,2025-05-17,22K,Standard,384.721,5592.85,2151686.84,3.07,66056.79,2085630.05,Card,Rerum inventore impedit odio itaque at incidunt.
Shray Rastogi,0104823195,ubalasubramanian@example.org,"43/65, Thaman Road, Cuttack-262410",Andhra Pradesh,2024-10-11,22K,Premium,615.409,6679.45,4110593.65,3.15,129483.7,3981109.95,UPI,Est nostrum quisquam totam deserunt voluptatibus cupiditate.
Oorja Gara,+917177436898,chora@example.net,"H.No. 718, Sarma Road, Purnia-917144",Karnataka,2025-03-29,18K,Standard,951.272,5372.71,5110908.59,2.92,149238.53,4961670.06,UPI,
Pihu Khosla,06329390099,kismat69@example.org,"22/460, Solanki Ganj, Thane-315300",Kerala,2023-07-13,22K,Standard,449.647,5175.43,2327116.57,1.78,41422.67,2285693.9,Cash,
Priyansh Walla,0596378268,zbali@example.com,"27, Char Ganj, Karaikudi 028466",Maharashtra,2023-07-16,18K,Standard,495.415,5850.78,2898564.17,3.54,102609.17,2795955.0,Bank Transfer,Delectus tenetur nemo nesciunt numquam molestias.
Veer Kala,+918485045612,craj@example.org,"20/81, Khatri Nagar, Satara-619149",West Bengal,2023-06-07,18K,Pure,833.037,5677.67,4729709.18,2.38,112567.08,4617142.1,Bank Transfer,
Prerak Raman,07023067963,sairarege@example.org,"68/83, Hayer Chowk, Kishanganj 480381",Delhi,2025-01-05,18K,Standard,134.223,5921.94,794860.55,2.57,20427.92,774432.63,UPI,
Tanya Dass,02601961631,ndas@example.net,"42/329, Mallick Road, Hosur 370949",Karnataka,2024-03-06,18K,Premium,338.956,6183.45,2095917.48,4.3,90124.45,2005793.03,Bank Transfer,
Dhruv Barad,+914979325187,shray13@example.org,"11, Chana Path, Dhule 278096",Rajasthan,2025-03-18,18K,Pure,505.563,5255.05,2656758.84,3.26,86610.34,2570148.5,Bank Transfer,
Adira Dhaliwal,04007432535,jsavant@example.com,"H.No. 560, Saran Ganj, Dewas 780187",Andhra Pradesh,2023-10-18,18K,Standard,913.154,6224.24,5683689.65,1.38,78434.92,5605254.73,Card,
Kanav Gulati,6158292588,dhanukdave@example.net,"H.No. 10, Kapadia Circle, Bharatpur 178087",Telangana,2024-10-18,18K,Pure,998.988,5581.05,5575401.98,4.47,249220.47,5326181.51,Cash,
Miraya Bumb,4189356709,bhavsarfateh@example.org,"H.No. 959, Ramanathan Circle, Jammu-574886",Kerala,2023-12-11,24K,Pure,917.565,6921.67,6351082.13,4.33,275001.86,6076080.27,Card,
Nayantara Balay,+914728177056,kchoudhary@example.com,"H.No. 88, Mani Path, Deoghar-384537",Tamil Nadu,2023-09-17,24K,Standard,471.869,5410.44,2553018.91,4.07,103907.87,2449111.04,Bank Transfer,Placeat blanditiis quos quis ea ducimus voluptas.
Akarsh Mann,4001509360,samiha96@example.com,"84, Dugar Path, Ghaziabad 842881",Delhi,2024-11-18,18K,Premium,991.329,6568.62,6511663.5,0.88,57302.64,6454360.86,Card,
Aarna Raja,+916554626308,purab54@example.net,"33/182, Khatri Circle, Vijayanagaram-587970",Tamil Nadu,2024-12-26,22K,Pure,940.351,6171.05,5802953.04,3.13,181632.43,5621320.61,UPI,
Jhanvi Basak,0051180260,emir58@example.com,"49/393, Kadakia Street, Malegaon 135763",Karnataka,2025-05-19,24K,Premium,154.612,6738.83,1041903.98,4.16,43343.21,998560.77,Card,
Advik Sibal,0072717671,hansh13@example.com,"01/02, Kibe, Nizamabad-470677",Telangana,2025-05-01,22K,Pure,102.486,6279.99,643611.06,2.0,12872.22,630738.84,Cash,
Veer Bir,9092787488,dbatra@example.org,"02/62, Bora Chowk, Jammu-638760",Telangana,2025-04-25,24K,Standard,579.046,5834.8,3378617.6,3.72,125684.57,3252933.03,Cash,Adipisci excepturi sed quas.
Inaaya  Chandran,+915105535707,iarya@example.com,"01, Ganesh Circle, Mahbubnagar-990128",Tamil Nadu,2023-11-28,22K,Pure,176.546,6034.06,1065289.16,0.7,7457.02,1057832.14,UPI,
Zaina Barman,+918830252746,rtata@example.net,"H.No. 460, Setty Street, Parbhani-468349",Telangana,2025-03-10,22K,Standard,322.184,5890.53,1897834.52,0.02,379.57,1897454.95,UPI,
Samaira Ganesh,+913457468077,subramaniamaaryahi@example.net,"H.No. 978, Chana Circle, Surat 059666",Maharashtra,2024-03-13,22K,Standard,713.967,5854.66,4180034.04,1.05,43890.36,4136143.68,Cash,
